hmdb_id	kegg_compound_id	name
HMDB04688	C14808	Hepoxilin A3
HMDB04690	C14810	Hepoxilin B3
HMDB00714	C01586	Hippuric acid
HMDB00870	C00388	Histamine
HMDB00742	C05330	Homocysteine
HMDB00130	C00544	Homogentisic acid
HMDB00118	C05582	Homovanillic acid
HMDB00725	C01157	Hydroxyproline
HMDB00157	C00262	Hypoxanthine
HMDB00671	C02043	Indolelactic acid
HMDB00195	C00294	Inosine
HMDB00175	C00130	Inosinic acid
HMDB00193	C00311	Isocitric acid
HMDB00715	C01717	Kynurenic acid
HMDB00694	C03196	L-2-Hydroxyglutaric acid
HMDB00201	C02571	L-Acetylcarnitine
HMDB00161	C00041	L-Alanine
HMDB00517	C00062	L-Arginine
HMDB00168	C00152	L-Asparagine
HMDB00191	C00049	L-Aspartic acid
HMDB00062	C00318	L-Carnitine
HMDB00099	C02291	L-Cystathionine
HMDB00574	C00097	L-Cysteine
HMDB00181	C00355	L-Dopa
HMDB00148	C00025	L-Glutamic acid
HMDB00641	C00064	L-Glutamine
HMDB00177	C00135	L-Histidine
HMDB00676	C01817	L-Homocystine
HMDB00719	C00263	L-Homoserine
HMDB00172	C00407	L-Isoleucine
HMDB00684	C01718	L-Kynurenine
HMDB00190	C00186	L-Lactic acid
HMDB00687	C00123	L-Leucine
HMDB00182	C00047	L-Lysine
HMDB00156	C00149	L-Malic acid
HMDB00696	C00073	L-Methionine
HMDB00791	C02838	L-Octanoylcarnitine
HMDB00222	C02990	L-Palmitoylcarnitine
HMDB00159	C00079	L-Phenylalanine
HMDB00716	C00408	L-Pipecolic acid
HMDB00162	C00148	L-Proline
HMDB00187	C00065	L-Serine
HMDB00167	C00188	L-Threonine
HMDB00929	C00078	L-Tryptophan
HMDB00158	C00082	L-Tyrosine
HMDB00883	C00183	L-Valine
HMDB01337	C00909	Leukotriene A4
HMDB01085	C02165	Leukotriene B4
HMDB01198	C02166	Leukotriene C4
HMDB03080	C05951	Leukotriene D4
HMDB02200	C05952	Leukotriene E4
HMDB00673	C01595	Linoleic acid
HMDB00265	C02465	Liothyronine
HMDB04385	C06314	Lipoxin A4
HMDB05082	C06315	Lipoxin B4
HMDB01938	D00362	Lisinopril
HMDB00761	C03990	Lithocholic acid
HMDB00761	C03990	Lithocholic acid
HMDB00722	C02592	Lithocholyltaurine
HMDB10379	C04230 	LysoPC(14:0) 
HMDB10382	C04230 	LysoPC(16:0) 
HMDB10383	C04230 	LysoPC(16:1(9Z)) 
HMDB10384	C04230 	LysoPC(18:0) 
HMDB02815	C04230	LysoPC(18:1(9Z))
HMDB10386	C04230 	"LysoPC(18:2(9Z,12Z)) "
HMDB10387	C04230 	"LysoPC(18:3(6Z,9Z,12Z)) "
HMDB10388	C04230 	"LysoPC(18:3(9Z,12Z,15Z)) "
HMDB10395	C04230 	"LysoPC(20:4(5Z,8Z,11Z,14Z)) "
HMDB10397	C04230 	"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)) "
HMDB10404	C04230 	"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)) "
HMDB00691	C00383	Malonic acid
HMDB04063	C05588	Metanephrine
HMDB00202	C02170	Methylmalonic acid
HMDB01932	C07202	Metoprolol
HMDB00227	C00418	Mevalonic acid
HMDB00211	C00137	Myoinositol
HMDB00806	C06424	Myristic acid
HMDB02000	C08322	Myristoleic acid
HMDB00902	C00003	NAD
HMDB00217	C00006	NADP
HMDB01406	C00153	Niacinamide
HMDB01488	C00253	Nicotinic acid
HMDB01132	C01185	Nicotinic acid mononucleotide
HMDB00819	C05589	Normetanephrine
HMDB00224	C00346	O-Phosphoethanolamine
HMDB06049	C06501	O-Phosphotyrosine
HMDB00207	C00712	Oleic acid
HMDB00214	C00077	Ornithine
HMDB00226	C00295	Orotic acid
HMDB02329	C00209	Oxalic acid
HMDB03337	C00127	Oxidized glutathione
HMDB00208	C00026	Oxoglutaric acid
HMDB00020	C00642	p-Hydroxyphenylacetic acid
HMDB00220	C00249	Palmitic acid
HMDB03229	C08362	Palmitoleic acid
HMDB00210	C00864	Pantothenic acid
HMDB07869	C00157	PC(14:0/16:0)
HMDB07870	C00157	PC(14:0/16:1(9Z))
HMDB07871	C00157	PC(14:0/18:0)
HMDB07873	C00157	PC(14:0/18:1(9Z))
HMDB07874	C00157	"PC(14:0/18:2(9Z,12Z))"
HMDB07883	C00157	"PC(14:0/20:4(5Z,8Z,11Z,14Z))"
HMDB07903	C00157	PC(14:1(9Z)/16:1(9Z))
HMDB07970	C00157	PC(16:0/18:0)
HMDB07972	C00157	PC(16:0/18:1(9Z))
HMDB07973	C00157	"PC(16:0/18:2(9Z,12Z))"
HMDB07983	C00157	"PC(16:0/20:4(8Z,11Z,14Z,17Z))"
HMDB07991	C00157	"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB08006	C00157	"PC(16:1(9Z)/18:2(9Z,12Z))"
HMDB08036	C00157	PC(18:0/18:0)
HMDB08038	C00157	PC(18:0/18:1(9Z))
HMDB08039	C00157	"PC(18:0/18:2(9Z,12Z))"
HMDB08047	C00157	"PC(18:0/20:3(8Z,11Z,14Z))"
HMDB08048	C00157	"PC(18:0/20:4(5Z,8Z,11Z,14Z))"
HMDB08057	C00157	"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB08105	C00157	"PC(18:1(9Z)/18:2(9Z,12Z))"
HMDB08114	C00157	"PC(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB08138	C00157	"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"
HMDB08270	C00157	"PC(20:0/18:2(9Z,12Z))"
HMDB08511	C00157	"PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB08731	C00157	"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))"
HMDB08825	C00350	PE(14:0/16:1(9Z))
HMDB08858	C00350	PE(14:1(9Z)/16:1(9Z))
HMDB08923	C00350	PE(16:0/16:0)
HMDB08924	C00350	PE(16:0/16:1(9Z))
HMDB08925	C00350	PE(16:0/18:0)
HMDB08927	C00350	PE(16:0/18:1(9Z))
HMDB08928	C00350	"PE(16:0/18:2(9Z,12Z))"
HMDB08957	C00350	PE(16:1(9Z)/16:1(9Z))
HMDB08991	C00350	PE(18:0/18:0)
HMDB08993	C00350	PE(18:0/18:1(9Z))
HMDB08994	C00350	"PE(18:0/18:2(9Z,12Z))"
HMDB09003	C00350	"PE(18:0/20:4(5Z,8Z,11Z,14Z))"
HMDB09012	C00350	"PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB09060	C00350	"PE(18:1(9Z)/18:2(9Z,12Z))"
HMDB09069	C00350	"PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB09102	C00350	"PE(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB01511	C02305	Phosphocreatine
HMDB00263	C00074	Phosphoenolpyruvic acid
HMDB01565	C00588	Phosphorylcholine
HMDB09779	C00626	PI(16:0/16:1(9Z))
HMDB09783	C00626	PI(16:0/18:1(9Z))
HMDB09784	C00626	"PI(16:0/18:2(9Z,12Z))"
HMDB09789	C00626	"PI(16:0/20:4(5Z,8Z,11Z,14Z))"
HMDB09798	C00626	PI(16:1(9Z)/16:1(9Z))
HMDB09805	C00626	PI(18:0/16:0)
HMDB09808	C00626	PI(18:0/18:0)
HMDB09809	C00626	"PI(18:0/18:2(9Z,12Z))"
HMDB09815	C00626	"PI(18:0/20:4(5Z,8Z,11Z,14Z))"
HMDB00237	C00163	Propionic acid
HMDB00824	C03017	Propionylcarnitine
HMDB05102	C06438	Prostaglandin D1
HMDB01403	C00696	Prostaglandin D2
HMDB03034	C13802	Prostaglandin D3
HMDB01442	C04741	Prostaglandin E1
HMDB01220	C00584	Prostaglandin E2
HMDB02685	C06475	Prostaglandin F1a
HMDB01139	C00639	Prostaglandin F2a
HMDB01414	C00134	Putrescine
HMDB01491	C00018	Pyridoxal 5'-phosphate
HMDB00239	C00314	Pyridoxine
HMDB00267	C01879	Pyroglutamic acid
HMDB00243	C00022	Pyruvic acid
HMDB00232	C03722	Quinolinic acid
HMDB00939	C00021	S-Adenosylhomocysteine
HMDB00840	C07588	Salicyluric acid
HMDB00271	C00213	Sarcosine
HMDB00792	C08277	Sebacic acid
HMDB00259	C00780	Serotonin
HMDB05039	C07259	Sildenafil
HMDB10169	C00550 	SM(d18:1/16:0) 
HMDB10169	C00550 	SM(d18:1/16:0) 
HMDB01348	C00550	SM(d18:1/18:0)
HMDB01348	C00550	SM(d18:1/18:0)
HMDB12101	C00550 	SM(d18:1/18:1(9Z)) 
HMDB12101	C00550 	SM(d18:1/18:1(9Z)) 
HMDB12101	C00550 	SM(d18:1/18:2)
HMDB12101	C00550 	SM(d18:1/18:2)
HMDB12102	C00550 	SM(d18:1/20:0) 
HMDB12102	C00550 	SM(d18:1/20:0) 
HMDB12103	C00550 	SM(d18:1/22:0) 
HMDB12103	C00550 	SM(d18:1/22:0) 
HMDB12104	C00550 	SM(d18:1/22:1(13Z)) 
HMDB12104	C00550 	SM(d18:1/22:1(13Z)) 
HMDB12107	C00550 	SM(d18:1/24:1(15Z)) 
HMDB12107	C00550 	SM(d18:1/24:1(15Z)) 
HMDB00247	C00794	Sorbitol
HMDB01257	C00315	Spermidine
HMDB01256	C00750	Spermine
HMDB00252	C00319	Sphingosine
HMDB00277	C06124	Sphingosine 1-phosphate
HMDB00827	C01530	Stearic acid
HMDB00893	C08278	Suberic acid
HMDB00254	C00042	Succinic acid
HMDB00258	C00089	Sucrose
HMDB00251	C00245	Taurine
HMDB00951	C05465	Taurochenodesoxycholic acid
HMDB00036	C05122	Taurocholic acid
HMDB00036	C05122	Taurocholic acid
HMDB00896	C05463	Taurodeoxycholic acid
HMDB00896	C05463	Taurodeoxycholic acid
HMDB05359	C00422	TG(16:0/16:0/16:1(9Z))[iso3]
HMDB05357	C00422	TG(16:0/16:0/18:0)[iso3]
HMDB05360	C00422	TG(16:0/16:0/18:1(9Z))[iso3]
HMDB05363	C00422	"TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05376	C00422	TG(16:0/16:1(9Z)/16:1(9Z))[iso3]
HMDB05377	C00422	TG(16:0/16:1(9Z)/18:1(9Z))[iso6]
HMDB05380	C00422	"TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05365	C00422	TG(16:0/18:0/18:0)[iso3]
HMDB05367	C00422	TG(16:0/18:0/18:1(9Z))[iso6]
HMDB05369	C00422	"TG(16:0/18:0/18:2(9Z,12Z))[iso6]"
HMDB05370	C00422	"TG(16:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05384	C00422	"TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6]"
HMDB05385	C00422	"TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05391	C00422	"TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05392	C00422	"TG(16:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05433	C00422	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))[iso3]
HMDB05435	C00422	"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]"
HMDB05436	C00422	"TG(16:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05447	C00422	"TG(16:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05448	C00422	"TG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05395	C00422	TG(18:0/18:0/18:1(9Z))[iso3]
HMDB05396	C00422	TG(18:0/18:0/20:1(11Z))[iso3]
HMDB05398	C00422	"TG(18:0/18:0/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05403	C00422	TG(18:0/18:1(9Z)/18:1(9Z))[iso3]
HMDB05405	C00422	"TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]"
HMDB05404	C00422	TG(18:0/18:1(9Z)/20:1(11Z))[iso6]
HMDB05406	C00422	"TG(18:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05410	C00422	"TG(18:0/18:2(9Z,12Z)/20:1(11Z))[iso6]"
HMDB05413	C00422	"TG(18:0/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05456	C00422	"TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05462	C00422	"TG(18:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05458	C00422	"TG(18:1(9Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05463	C00422	"TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05471	C00422	"TG(18:2(9Z,12Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))[iso6]"
HMDB05476	C00422	"TG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))[iso3]"
HMDB05478	C00422	"TG(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB00235	C00378	Thiamine
HMDB00273	C00214	Thymidine
HMDB00262	C00178	Thymine
HMDB00248	C01829	Thyroxine
HMDB00925	C01104	Trimethylamine N-oxide
HMDB00306	C00483	Tyramine
HMDB00300	C00106	Uracil
HMDB00026	C02642	Ureidopropionic acid
HMDB00289	C00366	Uric acid
HMDB00296	C00299	Uridine
HMDB00295	C00015	Uridine 5'-diphosphate
HMDB00288	C00105	Uridine 5'-monophosphate
HMDB00286	C00029	Uridine diphosphate glucose
HMDB00935	C00167	Uridine diphosphate glucuronic acid
HMDB00946	C07880	Ursodeoxycholic acid
HMDB00291	C05584	Vanillylmandelic acid
HMDB01850	C07188	Verapamil
HMDB00292	C00385	Xanthine
HMDB00299	C01762	Xanthosine
HMDB00881	C02470	Xanthurenic acid
HMDB01554	C00655	Xanthylic acid
